words,links,capital_words,spam_word_count,is_spam
63,2,5,2,0
108,4,16,9,1
53,2,16,6,1
272,1,0,0,0
213,2,8,1,0
138,5,2,1,0
119,10,13,5,1
324,5,25,8,1
257,2,2,2,0
601,5,14,0,1
647,2,5,1,1
76,2,2,2,0
721,3,5,0,1
830,5,29,5,1
846,3,22,7,1
149,2,0,1,0
149,3,1,2,0
618,4,1,6,1
226,2,3,2,0
241,2,2,2,0
236,0,2,0,0
192,2,30,7,1
116,2,5,0,0
192,7,17,9,1
70,7,1,8,1
716,3,28,1,1
137,2,0,0,0
471,6,5,5,1
937,4,8,4,1
130,0,1,2,0
174,0,24,4,1
977,7,8,4,1
74,1,1,0,0
53,2,2,2,0
449,2,0,8,1
163,3,5,9,1
153,1,2,0,0
195,2,28,3,1
418,1,21,6,1
288,5,3,0,0
57,1,2,4,0
385,2,1,2,0
718,2,4,8,1
40,1,10,3,0
142,2,10,3,1
639,2,2,5,1
397,1,1,2,0
184,2,1,1,0
228,1,2,2,0
120,0,2,0,0
548,5,2,10,1
57,0,1,1,0
599,7,9,9,1
640,3,16,2,1
170,2,2,2,0
93,9,22,1,1
279,0,1,0,0
744,6,2,3,1
218,3,12,10,1
882,0,0,9,1
81,10,24,4,1
882,1,18,9,1
153,4,3,2,0
254,1,2,2,0
286,2,1,2,0
273,2,26,6,1
578,9,21,10,1
51,2,4,2,0
231,0,4,2,0
232,10,26,3,1
165,3,4,0,0
243,2,2,2,0
133,3,20,1,1
39,0,0,1,0
82,2,3,2,0
47,3,1,5,0
287,1,8,2,0
106,7,8,3,1
127,0,0,2,0
995,10,7,9,1
145,2,7,2,0
245,4,8,1,0
868,10,16,5,1
493,3,1,4,0
156,2,1,0,0
777,2,5,4,1
433,4,3,10,1
297,5,6,2,1
176,8,24,1,1
240,0,0,2,0
467,8,1,8,1
611,4,21,5,1
978,6,3,3,1
153,5,2,6,1
524,2,11,4,1
63,1,2,0,0
268,0,0,2,0
297,5,2,0,0
307,4,26,10,1
731,0,21,3,1
361,9,25,9,1
252,2,26,6,1
672,5,23,4,1
153,0,3,1,0
240,0,2,0,0
256,2,1,1,0
151,9,23,6,1
383,4,2,2,0
97,4,15,10,1
275,1,2,2,0
278,7,18,10,1
730,8,20,4,1
238,0,10,0,0
485,1,2,1,0
124,1,2,1,0
157,2,24,6,1
36,0,3,2,0
327,7,0,9,1
440,3,25,0,1
80,2,3,0,0
418,1,1,2,0
952,8,27,5,1
341,2,19,8,1
161,1,3,1,0
146,0,1,2,0
253,0,0,2,0
146,2,10,2,0
46,2,0,0,0
245,5,28,7,1
414,1,1,0,0
254,0,3,1,0
49,0,8,1,0
761,2,2,6,1
176,2,1,2,0
86,2,1,2,0
94,1,3,0,0
52,2,0,1,0
195,4,3,8,1
638,9,1,6,1
217,8,24,2,1
219,1,3,1,0
164,1,1,0,0
211,1,9,0,0
235,8,2,3,1
107,6,24,0,1
181,0,4,1,0
868,9,14,5,1
238,1,2,1,0
401,4,20,7,1
235,1,3,2,0
176,5,4,4,1
137,2,2,0,0
294,0,2,5,0
335,0,10,9,1
64,2,0,5,0
141,1,2,3,1
464,5,0,2,0
83,1,2,1,0
301,1,9,2,0
560,5,0,4,1
480,3,11,1,1
188,1,3,2,0
254,4,4,8,1
287,5,14,10,1
242,2,3,0,0
172,3,1,1,0
118,0,1,5,1
261,1,2,2,0
559,4,19,4,1
830,9,23,10,1
565,6,7,7,1
333,3,5,4,1
397,2,11,1,1
585,9,9,0,1
113,3,3,1,0
228,0,1,2,0
252,2,0,0,0
195,5,23,2,1
333,2,2,4,0
205,1,2,0,0
273,0,1,2,0
484,2,1,3,0
289,9,4,10,1
188,2,2,1,0
496,1,0,0,0
95,5,3,7,1
343,5,0,4,1
257,3,1,1,0
217,2,1,1,0
107,2,0,2,0
658,3,16,10,1
44,0,0,6,0
203,0,10,2,0
35,0,1,0,0
33,1,2,2,0
208,1,2,0,0
802,10,30,8,1
296,2,1,1,0
140,8,25,7,1
95,1,3,1,0
622,5,1,7,1
233,1,0,1,0
221,1,0,0,0
174,4,0,1,0
178,0,1,0,0
761,3,8,4,1
32,4,3,2,0
125,2,3,6,0
526,8,23,9,1
283,0,2,2,0
560,5,17,3,1
131,5,10,2,1
331,2,1,1,0
991,5,26,3,1
249,1,3,1,0
237,8,10,3,1
334,3,27,6,1
601,8,5,9,1
739,5,5,5,1
195,3,12,9,1
454,2,0,5,0
266,1,3,2,0
152,0,10,2,0
76,1,2,0,0
173,2,3,0,0
224,1,6,2,0
408,1,0,1,0
216,0,2,2,0
183,0,2,0,0
188,2,1,2,0
170,2,9,10,1
205,5,16,7,1
217,0,0,1,0
178,3,1,0,0
156,1,0,2,0
195,2,3,0,0
82,5,30,8,1
461,1,2,0,0
85,2,0,2,0
42,2,3,1,0
483,0,2,6,0
277,8,15,3,1
56,0,8,1,0
225,2,27,10,1
98,2,2,0,0
173,2,18,6,1
126,2,1,2,0
164,2,3,1,0
172,2,11,10,1
37,1,2,2,0
170,2,0,0,0
775,5,12,2,1
734,3,22,8,1
435,9,6,5,1
892,9,20,3,1
91,0,3,0,0
602,10,30,5,1
468,0,0,0,0
158,1,3,0,0
123,0,0,2,0
66,0,0,1,0
120,1,3,0,0
121,0,9,6,0
79,0,8,6,0
157,2,2,8,1
156,3,11,6,1
666,3,20,4,1
259,3,3,3,0
254,0,1,1,0
846,0,4,4,1
72,7,7,1,1
615,7,7,7,1
253,0,3,0,0
169,0,0,2,0
187,2,3,0,0
270,0,1,1,0
188,7,10,7,1
171,0,3,1,0
364,10,11,1,1
59,1,0,1,0
865,4,1,10,1
644,2,16,2,1
167,0,0,1,0
200,1,0,0,0
88,0,1,1,0
178,2,5,3,1
53,3,8,4,1
731,10,3,0,1
260,1,0,2,0
175,2,3,1,0
194,2,2,4,0
832,6,25,1,1
169,2,3,3,0
359,0,1,6,1
284,2,3,4,0
951,3,16,1,1
306,2,7,0,0
27,0,2,0,0
458,9,16,5,1
122,1,1,1,0
30,0,1,1,0
105,2,8,0,0
481,7,6,4,1
456,0,5,1,0
325,9,11,5,1
560,3,23,9,1
721,4,21,9,1
129,2,1,1,0
195,5,6,1,1
394,8,25,8,1
211,1,2,4,0
240,8,0,9,1
121,3,3,5,1
625,3,2,10,1
189,4,2,0,0
249,9,4,6,1
277,1,5,2,0
149,2,0,0,0
710,9,14,0,1
858,8,8,4,1
245,1,5,5,1
533,1,30,5,1
145,0,16,3,1
212,2,3,1,0
188,6,19,7,1
200,1,18,6,1
145,1,5,5,0
638,10,20,2,1
979,8,28,5,1
840,7,24,5,1
686,5,23,9,1
383,0,19,4,1
226,0,3,0,0
199,2,8,2,0
281,0,30,4,1
874,8,5,8,1
452,6,12,6,1
788,7,25,10,1
379,1,0,0,0
115,2,6,0,1
757,8,0,6,1
261,2,0,2,0
749,2,0,4,1
198,5,27,0,1
623,9,5,3,1
208,0,0,1,0
383,8,0,0,1
234,2,2,1,0
909,4,25,4,1
122,1,3,1,0
638,5,22,3,1
247,2,3,2,0
231,1,3,4,0
243,10,23,7,1
731,10,0,8,1
455,1,3,0,0
873,0,17,8,1
119,2,0,5,0
665,8,6,5,1
148,2,0,2,0
623,3,15,10,1
88,5,3,5,0
194,2,5,1,0
493,3,0,2,0
74,3,12,4,1
414,5,2,7,1
374,4,10,9,1
876,7,0,8,1
91,1,9,5,0
738,7,22,8,1
123,3,2,2,0
155,1,1,0,0
180,0,8,4,1
828,4,17,1,1
345,0,1,1,0
600,8,15,6,1
230,2,1,1,0
240,1,1,1,0
143,10,28,8,1
265,2,2,4,0
277,2,1,2,0
147,2,21,5,1
304,1,7,0,0
517,6,19,4,1
214,1,2,3,0
818,4,11,4,1
297,0,2,2,0
174,7,12,10,1
371,0,4,6,1
491,1,10,3,0
153,2,10,5,0
181,1,3,0,0
713,2,3,2,1
107,10,11,1,1
196,0,1,2,0
121,1,2,3,0
434,4,8,7,1
782,6,6,8,1
118,4,6,10,1
128,0,0,0,0
22,1,3,4,0
91,3,0,5,0
725,8,3,9,1
198,7,22,8,1
116,1,5,0,0
283,0,2,0,0
280,2,2,2,0
260,8,5,4,1
574,7,0,10,1
797,8,20,6,1
244,2,1,7,1
80,2,3,0,0
194,0,3,5,0
289,2,3,0,0
42,1,1,2,0
105,1,2,1,0
68,1,1,6,0
148,3,5,1,0
898,9,8,4,1
161,4,22,3,1
257,1,8,0,0
266,2,5,4,0
516,9,2,4,1
543,10,9,8,1
715,8,14,7,1
649,6,2,0,1
49,0,2,4,0
498,3,10,4,1
102,1,1,1,0
863,2,22,10,1
193,6,1,8,1
776,10,9,3,1
168,9,22,0,1
277,1,2,4,0
792,6,28,7,1
218,1,3,3,0
111,1,20,6,1
855,4,3,10,1
429,0,3,2,0
132,0,0,1,0
203,2,2,5,0
133,1,2,2,0
103,0,1,0,0
908,5,4,8,1
43,0,1,1,0
83,2,16,3,1
218,1,2,2,0
689,10,21,1,1
127,5,23,10,1
442,1,3,1,0
62,0,10,2,0
198,3,19,4,1
131,10,16,7,1
215,0,0,0,0
699,2,24,5,1
352,2,0,5,0
633,1,19,2,1
195,4,0,2,0
172,2,0,4,1
739,3,5,1,1
187,2,4,3,0
436,10,10,1,1
247,0,1,2,0
69,1,1,2,0
714,9,30,7,1
895,5,21,4,1
103,0,0,1,0
205,1,8,0,0
447,1,8,2,0
125,2,12,3,1
93,1,3,0,0
161,8,26,9,1
207,0,2,0,0
544,1,15,5,1
125,5,8,3,1
350,8,29,6,1
257,1,10,1,0
111,1,3,1,0
274,0,19,6,1
178,2,18,5,1
57,0,2,0,0
51,7,9,9,1
208,2,15,0,1
163,0,0,2,0
208,3,19,8,1
158,3,10,5,1
150,5,1,7,1
238,1,6,2,0
192,0,29,4,1
309,2,26,7,1
871,8,5,4,1
130,8,10,3,1
684,0,19,2,1
489,2,26,8,1
39,1,2,0,0
306,0,26,10,1
78,3,3,9,1
83,10,23,10,1
135,3,23,9,1
345,2,8,6,1
302,6,21,8,1
297,2,1,2,0
247,2,4,5,0
107,2,3,2,0
241,2,5,4,1
99,2,16,9,1
192,1,1,1,0
384,2,1,0,0
632,0,24,4,1
624,9,11,9,1
179,4,13,10,1
428,1,0,1,0
60,3,25,9,1
20,1,2,2,0
79,4,25,6,1
866,7,5,8,1
898,2,3,7,1
100,3,11,8,1
305,8,12,4,1
299,1,2,2,0
108,10,20,5,1
36,2,1,0,0
270,4,1,1,0
180,1,2,0,0
206,0,0,0,0
514,5,7,10,1
210,5,2,1,0
425,1,2,0,0
328,2,23,3,1
291,4,1,10,1
243,1,3,2,0
287,1,3,1,0
748,3,22,10,1
298,0,2,0,0
300,0,1,1,0
46,2,3,1,0
615,2,14,4,1
470,3,5,5,1
121,10,19,0,1
35,0,2,1,0
219,1,8,1,1
215,2,1,1,0
166,0,22,7,1
197,0,0,1,0
175,0,0,1,0
222,4,3,2,0
51,1,2,0,0
119,9,9,10,1
226,3,19,4,1
178,7,19,9,1
76,9,14,10,1
383,1,1,0,0
840,1,16,5,1
130,8,18,8,1
115,10,29,8,1
928,9,5,4,1
696,6,28,8,1
159,5,1,2,0
983,5,4,7,1
132,3,8,5,1
499,2,19,4,1
196,1,1,2,0
183,9,5,9,1
202,3,8,6,1
992,1,18,1,1
200,2,1,2,0
958,2,19,4,1
239,2,7,2,0
151,4,0,6,1
390,2,3,6,0
273,4,6,8,1
160,5,16,5,1
731,4,12,10,1
52,1,1,2,0
26,3,2,5,0
613,8,12,8,1
44,0,3,4,0
376,4,30,10,1
223,0,0,2,0
715,2,14,7,1
243,1,1,0,0
157,8,0,10,1
130,3,3,1,0
196,0,9,6,1
130,5,13,4,1
500,5,8,7,1
89,4,29,3,1
197,1,1,4,0
184,2,10,2,0
337,1,4,3,1
78,2,3,2,0
71,1,24,9,1
31,0,3,2,0
234,2,5,1,0
196,1,0,6,0
48,2,9,1,0
204,1,0,6,0
258,5,9,2,0
140,1,2,2,0
768,5,18,3,1
297,2,0,2,0
262,0,3,0,0
728,6,5,9,1
117,7,9,10,1
368,1,13,4,1
706,6,7,4,1
399,5,23,5,1
503,10,13,3,1
584,9,12,1,1
453,3,1,0,0
210,0,0,4,0
127,3,24,5,1
269,4,1,2,0
932,6,7,5,1
431,1,1,2,0
777,5,0,7,1
51,2,1,0,0
50,2,6,8,1
897,7,4,10,1
602,2,7,5,1
159,2,1,2,0
159,1,2,1,0
132,2,2,0,0
178,2,1,2,0
190,3,26,2,1
381,4,6,2,0
530,10,21,7,1
240,4,0,1,1
554,0,28,10,1
940,2,9,2,1
120,0,17,6,1
250,1,3,2,0
163,2,0,0,0
47,0,0,1,0
73,0,3,1,0
226,0,0,4,0
152,5,23,6,1
308,1,3,6,0
100,7,21,6,1
967,9,19,9,1
115,6,20,3,1
393,8,10,3,1
581,0,13,6,1
845,9,28,5,1
81,0,0,1,0
331,3,8,10,1
174,4,3,4,0
912,2,3,5,1
215,1,5,2,0
301,1,21,3,1
101,5,0,8,1
414,8,11,10,1
233,5,0,0,0
698,8,14,0,1
651,10,1,9,1
133,4,23,3,1
941,5,16,4,1
439,3,27,9,1
191,2,0,2,0
76,0,7,6,0
299,0,8,0,0
106,1,0,2,0
160,1,3,0,0
38,0,0,2,0
791,2,30,1,1
289,0,14,6,1
204,0,3,1,0
78,9,29,9,1
150,4,16,0,1
531,0,6,3,1
619,2,29,8,1
662,5,6,7,1
146,4,12,7,1
475,0,0,2,0
78,8,17,2,1
415,4,21,10,1
161,5,8,6,1
195,0,7,1,0
138,2,11,3,1
138,0,3,0,0
515,3,9,1,1
715,6,26,5,1
200,4,0,2,0
635,7,23,1,1
158,2,2,1,0
429,2,24,6,1
269,2,3,2,0
314,2,8,0,0
959,3,13,10,1
172,4,18,7,1
103,1,2,1,0
894,4,11,2,1
818,6,7,0,1
96,1,0,2,0
567,5,16,3,1
632,5,29,5,1
695,8,5,3,1
255,2,26,1,1
207,7,25,8,1
210,0,1,1,0
846,3,16,5,1
121,10,23,7,1
66,0,1,0,0
403,0,2,0,0
99,2,3,3,0
187,0,2,2,0
92,1,0,1,0
302,9,22,8,1
78,1,3,1,0
74,0,1,1,0
962,2,19,8,1
882,9,23,2,1
62,2,10,1,0
446,8,3,10,1
181,2,3,1,0
157,1,2,0,0
200,1,1,1,0
62,2,3,0,0
495,1,1,3,0
929,7,19,1,1
82,3,17,6,1
198,3,22,10,1
274,0,3,1,0
162,1,1,3,0
109,1,1,1,0
183,0,2,0,0
810,6,15,4,1
645,2,9,3,1
128,2,3,1,0
284,1,1,0,0
60,1,3,0,0
124,0,28,7,1
26,2,1,1,0
57,5,12,7,1
997,6,6,7,1
256,3,23,4,1
83,1,0,0,0
802,2,15,3,1
170,2,16,5,1
538,3,20,5,1
211,4,1,0,0
47,1,1,0,0
923,2,17,1,1
263,1,4,2,0
85,0,2,1,0
458,2,2,2,0
238,1,0,0,0
433,1,2,2,0
29,4,3,5,0
989,10,6,2,1
173,9,11,1,1
951,6,21,10,1
275,0,1,3,0
100,0,2,6,0
246,1,2,4,0
438,8,26,8,1
54,1,6,0,0
274,1,1,0,0
410,5,0,10,1
155,2,8,1,0
221,1,2,0,0
405,5,4,9,1
631,6,22,0,1
240,1,0,2,0
230,3,14,7,1
250,1,4,1,0
860,9,13,10,1
106,0,2,1,0
328,0,12,6,1
868,7,5,7,1
46,1,3,6,0
92,3,17,5,1
241,5,26,3,1
64,0,2,0,0
191,1,0,2,0
56,1,2,2,0
57,3,24,6,1
233,0,0,1,0
889,2,24,10,1
167,3,29,3,1
71,2,2,1,0
239,4,15,5,1
125,1,1,0,0
431,4,5,5,1
121,0,0,2,0
158,6,20,10,1
299,1,8,2,0
321,6,23,8,1
265,2,6,6,0
245,5,2,0,0
184,9,6,3,1
591,1,18,9,1
283,3,3,0,0
149,1,0,1,0
514,9,7,7,1
146,4,0,6,0
91,5,4,4,1
244,5,7,3,1
143,4,21,2,1
39,1,0,0,0
314,5,15,7,1
130,2,0,2,0
277,2,1,1,0
474,1,2,2,0
275,9,3,5,1
891,3,18,4,1
730,4,15,0,1
865,10,5,6,1
368,2,16,2,1
145,6,17,7,1
904,3,5,2,1
121,0,17,4,1
229,0,4,6,0
28,1,2,2,0
271,4,4,2,0
220,3,13,3,1
359,0,2,2,0
118,9,13,10,1
26,0,6,3,0
241,4,5,6,1
992,2,7,1,1
590,5,5,8,1
497,1,8,1,0
171,1,1,1,0
153,5,0,0,0
142,9,24,10,1
61,1,2,2,0
440,10,5,7,1
125,2,0,2,0
273,2,0,3,0
242,3,1,6,0
816,9,12,5,1
444,8,0,6,1
197,1,10,0,0
45,2,1,5,0
190,1,1,1,0
251,3,4,2,0
180,3,30,5,1
606,10,17,7,1
154,5,0,2,0
207,0,3,1,0
169,0,4,1,0
52,2,2,2,0
113,2,1,1,0
109,1,3,0,0
110,4,29,8,1
718,6,8,4,1
122,4,0,4,0
106,1,1,0,0
219,0,0,2,0
107,4,18,8,1
318,2,3,0,0
982,4,15,5,1
119,1,11,5,1
80,3,13,6,1
171,0,1,0,0
540,8,0,8,1
140,0,2,1,0
233,1,0,1,0
349,10,25,6,1
37,2,2,2,0
48,0,0,1,0
174,1,2,2,0
766,10,11,10,1
719,9,2,8,1
194,3,19,3,1
239,2,26,10,1
451,2,19,3,1
927,8,9,9,1
232,2,30,6,1
404,5,10,1,1
613,2,10,9,1
156,2,2,1,0
78,6,21,3,1
622,7,9,1,1
299,0,2,0,0
264,1,2,2,0
59,0,2,1,0
185,2,21,6,1
284,2,3,1,0
81,0,9,1,0
696,7,30,3,1
39,2,3,2,0
212,3,7,0,0
665,9,15,8,1
186,1,4,2,0
447,2,0,0,0
265,3,3,2,0
192,7,13,4,1
955,8,16,10,1
371,2,9,5,1
656,6,27,3,1
909,9,12,7,1
21,0,2,1,0
51,5,7,2,0
850,2,7,9,1
165,0,3,1,0
206,1,1,2,0
212,4,3,0,0
469,4,3,5,1
807,7,3,7,1
81,1,1,2,0
732,2,13,3,1
311,9,29,3,1
353,2,7,5,1
22,5,1,0,0
264,1,4,1,0
130,0,0,0,0
681,7,22,1,1
95,1,3,1,0
300,0,1,1,0
427,0,29,4,1
326,1,0,1,0
81,0,2,2,0
111,2,0,3,0
201,0,7,2,0
475,4,15,8,1
292,0,4,0,0
156,8,24,2,1
966,10,20,10,1
216,10,24,3,1
123,2,6,1,0
856,6,4,4,1
793,4,1,2,1
491,3,3,1,0
452,3,2,0,1
742,6,23,6,1
414,3,14,3,1
912,10,5,0,1
294,2,3,3,0
839,1,27,10,1
567,3,1,9,1
694,2,16,7,1
161,3,3,0,0
142,0,2,0,0
106,5,3,1,0
275,1,1,2,0
167,2,12,7,1
832,4,25,7,1
101,1,2,2,0
27,1,2,2,0
80,3,1,6,0
127,0,4,0,0
579,3,9,7,1
579,9,17,7,1
273,1,0,2,0
614,0,0,3,1
168,3,21,3,1
184,2,0,6,0
465,2,3,2,0
188,0,0,1,0
162,7,30,10,1
75,1,0,2,0
229,1,3,2,0
75,3,0,1,0
569,3,1,8,1
200,5,3,2,0
784,4,27,3,1
429,2,2,1,0
62,1,1,0,0
833,1,19,7,1
76,1,15,4,1
909,1,25,4,1
101,8,29,7,1
652,5,3,3,1
111,2,0,2,0
482,2,0,2,0
46,2,1,0,0
398,1,0,1,0
164,10,16,8,1
914,10,5,10,1
237,1,9,2,0
261,1,3,0,0
77,3,3,2,0
167,3,4,4,1
104,2,3,0,0
58,2,2,6,0
202,1,5,3,0
187,4,18,3,1
252,0,2,4,0
327,0,3,0,0
152,2,23,10,1
161,4,8,8,1
162,9,21,4,1
638,2,13,10,1
429,9,27,9,1
276,4,3,1,0
219,2,9,2,0
156,3,9,5,1
690,2,11,8,1
244,2,0,6,0
331,3,1,5,1
211,0,18,0,1
137,2,0,0,0
531,4,10,1,1
172,0,1,2,0
253,2,0,0,0
131,8,10,3,1
220,1,2,2,0
192,1,3,0,0
112,2,5,0,0
252,0,0,1,0
192,1,9,2,0
284,2,3,1,0
555,2,17,3,1
452,4,20,5,1
720,5,9,3,1
279,5,2,2,0
665,7,29,10,1
48,5,9,1,0
200,3,2,0,0
393,0,2,5,0
292,1,3,0,0
895,2,23,2,1
479,2,2,5,0
140,2,20,3,1
161,5,5,0,0
322,9,2,10,1
825,5,5,0,1
701,1,23,7,1
664,10,6,7,1
38,1,6,1,0
26,1,3,0,0
474,8,23,6,1
155,2,1,3,0
261,0,0,4,0
447,10,5,4,1
460,3,15,4,1
162,2,4,0,0
459,1,0,2,0
247,2,4,1,0
113,0,2,4,0
354,2,2,1,0
125,3,26,2,1
217,2,1,2,0
427,1,1,5,0
519,4,0,4,1
127,2,26,7,1
874,6,25,4,1
639,3,17,3,1
146,4,28,5,1
125,0,0,0,0
54,2,3,2,0
788,3,10,3,1
56,0,3,1,0
858,6,1,4,1
291,1,2,4,0
56,2,3,0,0
173,0,9,0,0
182,2,5,4,0
616,7,5,4,1
55,2,0,1,0
495,10,30,10,1
125,1,0,2,0
884,4,5,8,1
177,2,2,1,0
205,7,13,7,1
168,0,0,1,0
382,5,4,9,1
169,2,0,2,0
125,1,3,2,0
128,4,2,5,0
999,6,11,6,1
297,10,22,7,1
816,7,20,10,1
841,9,1,1,1
856,10,13,0,1
504,2,29,7,1
247,0,1,4,0
591,9,7,4,1
60,2,3,2,0
139,5,0,1,0
278,10,11,6,1
958,2,2,4,1
832,1,5,3,1
350,9,7,1,1
341,4,8,2,0
27,4,2,4,0
103,1,3,1,0
94,3,2,2,0
247,1,3,0,0
380,4,4,7,1
63,1,6,0,0
288,1,2,5,0
723,8,30,6,1
246,0,1,2,0
151,1,0,6,0
239,2,1,4,0
168,4,6,0,1
143,5,26,4,1
357,1,3,1,0
238,2,2,1,0
133,0,10,2,0
938,2,6,9,1
116,9,28,9,1
97,2,6,8,1
301,10,30,3,1
213,2,1,1,0
118,7,24,7,1
322,5,2,1,0
732,10,18,8,1
640,2,29,7,1
165,1,1,2,0
459,2,7,8,1
112,7,6,5,1
77,2,0,0,0
103,4,3,7,1
996,9,2,8,1
316,3,3,5,1
930,4,13,3,1
415,6,29,6,1
294,1,0,1,0
123,3,4,7,1
314,9,7,4,1
293,6,27,10,1
816,0,28,10,1
136,0,6,2,0
644,2,23,6,1
377,2,0,2,0
425,1,0,0,0
427,3,3,0,0
96,1,10,1,0
446,1,0,2,0
528,4,17,7,1
577,9,11,8,1
408,0,24,8,1
234,1,3,1,0
560,1,3,8,1
295,2,1,3,0
510,4,21,9,1
192,1,0,2,0
292,0,1,0,0
197,0,1,6,0
269,0,7,0,0
428,3,25,0,1
118,1,7,0,0
225,4,10,2,0
25,2,0,2,0
102,4,27,10,1
960,1,5,3,1
84,2,1,2,0
937,2,10,7,1
602,6,12,10,1
336,3,3,4,0
282,1,0,0,0
162,0,0,0,0
211,5,3,1,0
244,2,1,2,0
239,1,0,2,0
149,3,25,6,1
965,3,14,8,1
528,2,12,0,1
438,7,5,6,1
165,0,1,1,0
588,7,12,4,1
569,7,10,5,1
717,1,2,2,1
677,4,25,3,1
885,3,14,5,1
683,5,0,2,1
121,6,20,9,1
60,3,1,9,1
620,6,8,0,1
38,1,3,2,0
659,1,13,5,1
502,10,27,6,1
135,2,2,1,0
332,7,5,6,1
224,10,29,10,1
259,8,21,9,1
28,0,0,2,0
292,7,3,10,1
421,2,3,0,0
314,0,8,5,1
192,2,3,2,0
823,4,7,10,1
145,1,2,0,0
45,2,3,4,0
138,0,10,9,1
282,0,1,4,0
400,0,0,1,0
177,2,1,1,0
213,0,1,5,1
333,10,13,6,1
256,1,1,2,0
126,1,2,1,0
84,0,0,0,0
380,2,5,2,0
249,0,3,2,0
67,8,23,7,1
275,10,28,3,1
197,5,0,5,0
241,1,5,1,0
302,7,15,0,1
297,4,21,7,1
67,1,0,4,0
28,4,1,1,0
174,4,7,2,0
165,0,20,4,1
163,2,3,2,0
776,3,30,3,1
318,7,26,5,1
259,0,1,6,0
88,4,2,2,0
538,2,16,0,1
405,0,5,2,1
259,0,0,1,0
119,5,1,6,0
145,1,2,0,0
213,1,3,0,0
60,0,9,4,0
33,1,1,1,0
65,3,2,1,0
401,0,1,0,0
74,1,1,1,0
64,9,10,6,1
409,5,16,2,1
274,4,3,4,0
62,0,3,3,0
123,3,5,4,1
484,0,28,4,1
242,2,2,1,0
73,1,1,2,0
336,2,9,9,1
497,3,5,7,1
155,1,1,6,0
891,3,10,7,1
94,0,0,0,0
331,0,3,2,0
432,9,29,10,1
206,0,2,0,0
75,0,2,10,1
133,1,5,0,0
157,2,16,10,1
55,0,6,2,0
576,0,12,3,1
187,5,23,10,1
104,1,10,0,0
149,3,30,2,1
198,6,19,1,1
99,1,0,2,0
48,0,1,5,0
453,1,0,1,0
82,0,24,6,1
129,9,5,3,1
211,1,0,5,0
299,1,2,0,0
282,4,26,6,1
85,0,3,1,0
438,2,3,2,0
81,1,8,0,0
430,1,2,0,0
148,2,3,2,0
68,1,1,1,0
28,1,2,0,0
882,7,21,3,1
399,1,2,0,0
118,9,10,5,1
183,4,2,3,0
31,1,0,0,0
156,2,3,2,0
109,2,1,2,0
259,10,20,7,1
277,2,0,5,0
314,8,28,2,1
505,10,3,6,1
48,1,1,0,0
836,3,6,3,1
248,0,12,6,1
171,6,14,10,1
125,6,24,5,1
905,5,5,7,1
326,8,11,4,1
182,2,9,10,1
350,7,22,7,1
114,0,2,0,0
718,7,26,3,1
824,2,4,3,1
